id,latitude,longitude,depth,mag
pde20120417071349000_198,-5.462,147.117,198,6.8
pde20120417035015610_29,-32.625,-71.365,29,6.7
pde20120415055740060_25,2.581,90.269,25,6.2
pde20120414220526430_11,-18.972,168.741,11,6.2
pde20120414105619380_15,-57.679,-65.308,15,6.2
pde20120412071548500_13,28.696,-113.104,13,7
pde20120412070600570_9,28.837,-113.027,9,6
pde20120411225510250_20,18.229,-102.689,20,6.5
pde20120411224146040_8,43.584,-127.638,8,6
pde20120411104310850_25,0.802,92.463,25.1,8.2
pde20120411092756760_10,1.254,91.735,10,6
pde20120411083836720_20,2.327,93.063,20,8.6
pde20120406161558010_108,-4.551,153.457,108.5,6.1
pde20120402173642060_9,16.395,-98.316,9,6
pde20120327110044500_15,39.859,142.017,15,6.1
pde20120326181252850_10,10.071,-104.16,10,6
pde20120325223706000_40,-35.2,-72.217,40.7,7.1
pde20120321221506130_118,-6.242,145.955,118,6.6
pde20120320180247440_20,16.493,-98.231,20,7.4
pde20120320175618800_66,-3.812,140.266,66,6.1
pde20120314211308040_28,-5.595,151.042,28,6.2
pde20120314120504520_10,35.687,140.695,10,6
pde20120314104924580_10,40.781,144.761,10,6.1
pde20120314090835140_12,40.887,144.944,12,6.9
pde20120309070950950_16,-19.125,169.613,16,6.7
pde20120305074610040_553,-28.246,-63.294,553.9,6.1
pde20120303121955090_14,-22.141,170.34,14,6.6
pde20120226061719760_12,51.708,95.991,12,6.7
pde20120226052124630_10,-24.495,-177.238,10,6
pde20120214081955470_51,-10.39,161.102,51,6.4
pde20120206101019850_9,9.885,123.095,9,6
pde20120206034912520_11,9.999,123.206,11,6.7
pde20120205164039160_8,-17.948,167.226,8,6.1
pde20120205001538900_145,-18.894,168.917,145,6.1
pde20120203034621150_8,-17.378,167.277,8,6.1
pde20120202133440650_23,-17.827,167.133,23,7.1
pde20120130051100950_43,-14.168,-75.635,43,6.4
pde20120124005205230_580,-24.977,178.52,580.3,6.3
pde20120123160452980_20,-36.409,-73.03,20,6.1
pde20120122055342080_13,-56.759,-25.147,13,6
pde20120121184711560_45,14.873,-93.005,45,6.2
pde20120115142131370_10,-60.882,-55.965,10,6
pde20120115134019540_8,-60.948,-56.113,8,6.6
pde20120110183659080_19,2.433,93.21,19,7.2
pde20120109040714670_28,-10.617,165.16,28,6.4
pde20120101052755980_365,31.456,138.072,365.3,6.8
pde20111227152156840_15,51.842,95.911,15,6.6
pde20111226044808870_90,-16.198,-173.862,90,6
pde20111215101007210_32,-32.718,-179.099,32,6
pde20111214050459270_140,-7.561,146.804,140.9,7.1
pde20111213075211930_161,0.041,123.03,161,6
pde20111211095455200_116,-56.009,-28.184,116,6.2
pde20111211014725900_54,17.844,-99.963,54.2,6.5
pde20111207222309730_20,-27.899,-70.918,20,6.1
pde20111130002706990_9,15.455,118.999,9,6
pde20111128122645450_25,-5.48,153.733,25,6.1
pde20111124102534030_38,41.898,142.639,38,6.2
pde20111123192431470_34,37.365,141.368,34,6.1
pde20111122184816300_549,-15.364,-65.09,549.9,6.6
pde20111117015705730_26,-1.702,-81.546,26.6,6
pde20111114040511390_17,-0.949,126.91,17,6.3
pde20111111104137480_10,-55.981,-124.439,10,6
pde20111108025908510_224,27.324,125.621,224.9,6.9
pde20111107223525630_177,11.56,-85.861,177,6
pde20111102145927940_10,-55.294,-128.843,10,6.1
pde20111101123200430_10,19.831,-109.205,10,6.3
pde20111028185434040_24,-14.438,-75.966,24,6.9
pde20111027001524520_602,-17.941,-179.531,602.9,6
pde20111023104122930_16,38.722,43.513,16,7.1
pde20111021175716100_33,-28.993,-176.238,33,7.4
pde20111021080237950_187,43.892,142.479,187,6.1
pde20111018050506250_26,-5.785,151.037,26,6.1
pde20111014061014600_12,54.08,123.722,12,6
pde20111014033514810_37,-6.57,147.881,37,6.5
pde20111013031630160_39,-9.35,114.587,39,6.1
pde20111007085828910_36,-32.514,-179.038,36,6.1
pde20110922230703570_10,-15.437,-175.311,10,6.4
pde20110918124051830_50,27.73,88.155,50,6.9
pde20110916192640970_35,40.271,142.78,35,6.7
pde20110915193104080_644,-21.611,-179.528,644.6,7.3
pde20110915080009640_28,36.256,141.338,28,6.1
pde20110915075318630_10,-35.366,-179.039,10,6.1
pde20110914181009000_15,53.107,172.984,15,6
pde20110909194134150_22,49.535,-126.893,22,6.4
pde20110905175511220_91,2.965,97.893,91,6.7
pde20110905095201130_37,-15.295,-173.621,37,6.2
pde20110903225540920_185,-20.671,169.716,185.1,7
pde20110903044857310_84,-56.451,-26.847,84,6.4
pde20110902134709620_578,-28.398,-63.029,578.9,6.7
pde20110902105553590_32,52.171,-171.708,32,6.9
pde20110901061438650_39,-12.357,166.657,39,6
pde20110830065741610_469,-6.362,126.752,469.8,6.9
pde20110824230617090_13,-18.155,167.727,13,6.2
pde20110824174611650_147,-7.641,-74.525,147,7
pde20110822201220950_29,-6.282,104.054,29,6.1
pde20110820181923550_28,-18.311,168.218,28,7.1
pde20110820171306380_35,-18.308,168.156,35,6.5
pde20110820165502810_32,-18.365,168.143,32,7.2
pde20110819053633040_47,37.671,141.652,47,6.2
pde20110819035426780_407,-16.522,-177.004,407.9,6.2
pde20110817114408370_9,36.765,143.77,9,6.1
pde20110816110357700_35,-2.331,128.002,35,6.1
pde20110810234543040_10,-7.04,-12.618,10,6
pde20110804135134560_36,48.833,154.769,36,6.1
pde20110731233856610_10,-3.518,144.828,10,6.6
pde20110731143447320_10,-17.016,171.579,10,6.1
pde20110730185349680_30,36.943,140.959,30,6.3
pde20110729074222630_523,-23.784,179.76,523,6.7
pde20110726174420380_12,25.101,-109.525,12,6
pde20110725005047590_10,-3.182,150.611,10,6.3
pde20110724185124520_35,37.727,141.394,35,6.3
pde20110723043424180_41,38.898,141.815,41,6.3
pde20110721230142510_10,-62.496,164.452,10,6
pde20110720220459320_21,-10.34,162.01,21,6
pde20110719193543480_20,40.081,71.41,20,6.1
pde20110716195912890_36,54.787,-161.29,36,6.1
pde20110716002612640_20,-33.819,-71.832,20,6
pde20110715132602950_10,-60.762,-23.523,10,6.1
pde20110711204704300_19,9.509,122.175,19,6.4
pde20110710005710800_23,38.034,143.264,23,7
pde20110709193518750_15,-29.436,-177.007,15.2,6
pde20110709150227240_14,-29.337,-177.051,14,6
pde20110706190318260_17,-29.539,-176.34,17,7.6
pde20110626121638600_17,-2.384,136.631,17,6.3
pde20110624030939470_52,52.05,-171.836,52,7.3
pde20110622215052350_33,39.955,142.205,33,6.7
pde20110621020415940_14,-11.479,165.551,14,6
pde20110620163601160_128,-21.701,-68.228,128,6.4
pde20110616000335790_16,-5.928,151.04,16,6.4
pde20110613143122990_61,2.515,126.457,61.1,6.3
pde20110605115112010_3,-55.843,146.62,3,6.4
pde20110603000500830_14,37.285,143.907,14,6.1
pde20110601125522380_21,-37.578,-73.691,21,6.3
pde20110515183710370_40,-6.104,154.414,40,6.4
pde20110515130813060_10,0.569,-25.647,10,6.1
pde20110513233552860_35,37.396,141.341,35,6.1
pde20110510085508930_11,-20.244,168.226,11,6.8
pde20110505145818680_11,38.17,144.032,11,6
pde20110430081916070_8,6.851,-82.333,8,6.1
pde20110424230751490_8,-4.586,122.771,8,6.1
pde20110423041654720_79,-10.375,161.2,79,6.8
pde20110421133703340_43,35.579,140.305,43,6.2
pde20110418130302730_86,-34.336,179.874,86,6.6
pde20110413195725420_22,39.583,143.34,22,6
pde20110411230816870_15,35.417,140.575,15,6.2
pde20110411081612730_11,37.001,140.401,11,6.6
pde20110407143243290_42,38.276,141.588,42,7.1
pde20110407131122400_166,17.208,-94.338,166.2,6.6
pde20110406140143340_25,1.615,97.097,25.3,6
pde20110403200640390_14,-9.848,107.693,14,6.7
pde20110403140709330_551,-17.642,-178.585,551.7,6.4
pde20110401132910690_59,35.662,26.56,59.9,6
pde20110331071530190_42,38.922,141.821,42,6
pde20110331001158300_15,-16.541,-177.517,15.5,6.3
pde20110329105433200_15,37.401,142.29,15,6.1
pde20110327222358800_19,38.415,142.011,19,6.2
pde20110326224941470_10,-15.851,-179.406,10,6
pde20110326224940820_6,-15.848,-179.405,6,6
pde20110325113624490_39,38.772,141.88,39,6.2
pde20110324135512010_8,20.687,99.822,8,6.9
pde20110322094429330_13,39.851,143.437,13,6.4
pde20110322091906230_31,37.325,141.791,31,6.1
pde20110322071845380_11,37.244,144.003,11,6.4
pde20110320082609580_27,18.994,121.246,27,6
pde20110317041356780_29,40.136,142.168,29,6.2
pde20110317024800030_17,-17.275,167.826,17,6.2
pde20110315152353850_18,40.335,143.288,18,6.1
pde20110315133146320_9,35.272,138.582,9,6
pde20110315132756630_28,37.576,142.237,28,6
pde20110314061236060_14,37.785,142.456,14,6
pde20110313012604250_8,35.723,141.637,8,6.1
pde20110312232448780_15,38.047,141.72,15,6.1
pde20110312131541650_38,37.249,141.159,38,6.1
pde20110312014715400_20,37.594,142.648,20,6.5
pde20110311201124060_17,39.005,142.633,17.4,6.1
pde20110311194650880_10,40.483,139.055,10,6.2
pde20110311190259170_27,39.342,142.872,27.1,6
pde20110311185916540_9,37.014,138.376,9.3,6.2
pde20110311152008190_52,36.398,141.864,52.8,6
pde20110311151314680_21,35.994,141.808,21,6.3
pde20110311113640920_25,39.241,142.463,25.7,6.6
pde20110311101034220_26,39.185,142.76,26.5,6
pde20110311083300780_27,39.14,142.967,27.6,6
pde20110311083109260_37,37.469,141.176,37.3,6
pde20110311082751600_42,38.017,142.657,42.8,6
pde20110311082636930_17,37.367,143.017,17,6.1
pde20110311081924380_6,36.166,141.562,6.8,6.5
pde20110311081541850_41,37.047,144.541,41,6.1
pde20110311081207260_39,36.569,141.486,39.6,6.2
pde20110311073018450_49,37.442,141.195,49.2,6
pde20110311072901830_45,39.031,142.349,45.4,6.3
pde20110311072812360_28,36.823,141.824,28.4,6.1
pde20110311072536460_39,37.934,144.529,39.5,6.1
pde20110311071458820_24,36.586,141.823,24.7,6.3
pde20110311065900270_35,37.357,144.725,35.9,6.3
pde20110311065716510_47,35.712,140.875,47.5,6
pde20110311064916610_47,37.337,144.237,47.3,6.1
pde20110311064845590_11,37.961,142.724,11.7,6.2
pde20110311062915990_40,37.812,144.233,40.6,6.1
pde20110311062550300_18,38.058,144.59,18.6,7.7
pde20110311062309480_56,39.03,142.284,56.3,6.2
pde20110311062132700_51,38.29,142.813,51.7,6.2
pde20110311062004110_49,36.004,142.067,49.3,6.5
pde20110311061849510_16,36.023,142.269,16,6.6
pde20110311061540280_42,36.281,141.111,42.6,7.9
pde20110311061523120_35,37.93,143.802,35,6.3
pde20110311061301040_40,37.211,141.601,40.1,6.2
pde20110311061236360_25,37.788,144.233,25.4,6.2
pde20110311060829660_2,38.969,143.37,2.8,6.7
pde20110311060720880_32,36.419,141.876,32.3,6.4
pde20110311060613170_42,39.003,142.29,42.7,6.3
pde20110311060039300_40,38.095,142.492,40.6,6.2
pde20110311055807490_50,37.623,142.155,50.7,6.3
pde20110311055545480_35,37.359,143.351,35,6.4
